extract_id,journal_no,date,speech_type,speaker,speaker_stand,addressee,addressee_stand,controlling_stand,extract
218,1.58,2/6/2017,reply to interpellation,Hontiveros,In Favor,De Lima,In Favor,In Favor,"based on the 2014 Philippines Country Report “On Being LGBT in Asia,” 28 LGBT Filipinos were murdered in 2011 because of their sexual identities. Hate crimes are among the worst forms of discrimination against people of diverse sexual orientation or gender identity that even the phenomena of harassment/ bullying in schools and workplaces likewise constitutes a form of discrimination."
228,1.58,2/6/2017,interpellation,De Lima,In Favor,Hontiveros,In Favor,In Favor,"Statement of the PAP published in the Philippine Journal of Psychology in 2011, “Lesbian, gay, bisexual and transgender (LGBT) Filipinos continue to experience stigma, prejudice and discrimination in Philippine society. This stigma is manifested in actions such as bullying, teasing and harassment of LGBT children and adolescents in families, schools and communities.” Notwithstanding the fact that Republic Act No. 10627, or the “Anti-Bullying Act of 2013” addresses the issue of bullying in elementary and secondary schools, the phenomenon of bullying in the society should produce a bigger picture of laws against many forms of discrimination. Senator Hontiveros as a human rights advocate has taken a strong consideration to the lifelong impact of discrimination not only against the LGBT as direct victims but also their families and loved ones."
248,1.58,2/6/2017,reply to interpellation,Hontiveros,In Favor,De Lima,In Favor,In Favor,"discrimination against people of diverse sexual orientation or gender identity or expression begins at the early stage of childhood life and leaves a lasting trauma to the young person and his/her family. To cite an instance in the educate sector, Hender Gercio, a transgender student from UP Diliman who protested against her French language professor for refusing to address her as a female because the latter said that it is against her religion beliefs; and the case of the first transgender chairperson of the UP Diliman Student Council, Gabriel Paolo “Heart” Difio, who was asked to sign a “gentleman’s policy” in a private school which was a contract that prohibits gay students from screaming or putting on make-up. in any stage, the life cycle of an individual of diverse sexual orientation or gender identity or expression is richly documented in terms of economic cost of homophobia. On whether or not an amendment to the title of the bill would be considered to reflect the LGBT as its direct right holders. she is open in amending the title especially if the new title would explicitly identify the right holders which would not only be limited to LGBT but also include individuals of diverse sexual orientation or gender identities or expressions in the country."
276,1.58,2/6/2017,interpellation,De Lima,In Favor,Hontiveros,In Favor,In Favor,desire to see the list of actual incidents of discriminations so it would be more imperative to further legislate provisions for the protection of individuals with diverse sexual orientations.
280,1.58,2/6/2017,reply to interpellation,Hontiveros,In Favor,De Lima,In Favor,In Favor,"she would submit the comprehensive documentation of gender equality advocates in the Philippines, the most traumatic of which was the case of Jennifer Laude and cases of refusal of entry to establishments involving television personalities - Inday Garutay and BB Gandanghari. Regarding cases of discrimination in employment, mainly in some recruitment processes, transwomen were told to cut their hair short and dress in men’s clothes to get the Job they are applying for."
291,1.58,2/6/2017,interpellation,De Lima,In Favor,Hontiveros,In Favor,In Favor,On the issue of cross dress or the circumstance whereby a person who was bom physically male prefers to be addressed as a “she” and wears lady’s apparel if prohibitions against cross dress falls within the contemplation of prohibited acts under the proposed measure.
298,1.58,2/6/2017,reply to interpellation,Hontiveros,In Favor,De Lima,In Favor,In Favor,"in principle, prohibitions on cross dress falls under the prohibited acts under the definition of terms in the bill, “gender identity” refers to the personal sense of identity as characterized, among others, by manner of clothing, inclinations, and behavior in relations to masculine or feminine conventions; in addition, “gender expression,” another key concept which the bill seeks to enshrine in Philippine law, refers to the outward manifestations of the cultural traits that enable a person to identify as male or female according to patterns, that at a particular moment in history, a given society define as gender appropriate. This  may embrace the manner of clothing and would relate to the issue of wearing school uniforms. the school is one of the institutions which challenges the equal value and dignity of every person and where Senate Bill No. 1271, as a human rights legislation that addresses the historical prejudice against LGBT-IQs, must step up to eliminate discrimination. Emphasizing that it is time to remove gender insensitive rules which has contributed to the systematic homophobia, transphobia and stigma, she said that if a rule or policy in an educate institution or workplace would devalue the dignity of another human being, it should be declared discriminatory and should be proscribed. schools should be reminded that the wearing of uniforms to identify schools and other institutions as well as uniforms worn by persons in authority are not supposed to be imposed to promote gender binaries; instead, rules and policies on uniforms should be challenged to become SOGIE-sensitive."
334,1.58,2/6/2017,interpellation,De Lima,In Favor,Hontiveros,In Favor,In Favor,"On school uniforms, there are some schools and universities like FEU that allow students to cross dress although she is uncertain if it is an exception insofar as the level of tolerance on the issue of cross dress in educate institutions is concerned. she was glad to learn from the Sponsor that the bill would contemplate violates on the part of schools and universities if they impose express prohibition against cross dress she would propose a clearer provision on prohibited acts relative to cross dress."
347,1.58,2/6/2017,reply to interpellation,Hontiveros,In Favor,De Lima,In Favor,In Favor,"appreciated the suggestion and thanked Senator De Lima for mentioning FEU as an example of an institution which promote non-discrimination and diversity, saying that all government agencies, GOCCs, private companies, private and public educate institutions and other entities should establish diversity programs to ensure that human rights violates and violence on the basis of SOGIE are prevented."
356,1.58,2/6/2017,interpellation,Legarda,In Favor,Hontiveros,In Favor,In Favor,"her wholehearted support to the measure, saying that through the bill, the Philippines could be at the forefront of protecting the rights of individuals with diverse sexual orientation. these rights should include individuals with diverse sexual orientation in the media because sometimes they are mocked in television programs, radio, print and online. this discrimination in print, broadcast and online media was included in a bill that she had previously sponsored but which was limited to discrimination against ethnicity and had been amended by the late Senator Defensor Santiago to include discrimination against gender identity."
371,1.58,2/6/2017,reply to interpellation,Hontiveros,In Favor,Legarda,In Favor,In Favor,looked forward to discussing with Senator Legarda on how the SOGIE bill and a more comprehensive measure addressing various types of discrimination could be passed separately so that they could complement each other in a package of anti-discrimination measures.
378,1.58,2/6/2017,interpellation,Legarda,In Favor,Hontiveros,In Favor,In Favor,"it was important to ensure that gender identity discrimination is eliminated in speech, actions and policies government institutions and the private sector to have an open mind and respect the gender identity or expressions of others."
384,1.58,2/6/2017,reply to interpellation,Hontiveros,In Favor,Legarda,In Favor,In Favor,expressed her appreciation for Senator Legarda’s affirmation on the need to pass the two anti-discrimination bills separately as well on the concern raised on Section 5 (a) which states that “it shall be unlawful to promote stigma in media” and believed that her colleague would have many rich insights and contributions to further improve the measure.
392,1.58,2/6/2017,interpellation,De Lima,In Favor,Hontiveros,In Favor,In Favor,"the importance of having sufficient and effective redress mechanisms for violates of the provisions of the measure. Having been a former chairperson of the Commission on Human Rights (CHR), while Republic Act No. 9710 (Magna Carta of Women) encompasses all human rights of women, there are instances when men with diverse sexual orientation are without clear recourse or direction in the application for reliefs when there are breaches of their rights as members of sexual minorities. whether the bill would ensure that men with diverse SOGIE can access the CHR in its capacity as gender ombudsman in investigating such violates until such time that the commission would have its own charter that would include the protection of these parties."
410,1.58,2/6/2017,reply to interpellation,Hontiveros,In Favor,De Lima,In Favor,In Favor,"the bill intends to provide redress mechanisms for SOGIE-related cases for men which is also consistent with Senator Legarda’s proposed amendment to explicitly identify the rights holders which would include men of diverse SOGIE. the inclusion of SOGIE concerns could be implemented by expanding the PNP women and children’s desks to cover all individuals of whatever sexual orientation, gender identity and gender expression who might seek redress of their grievances in the spirit of what is promised by the Gender and Development (GAD) Act."
422,1.58,2/6/2017,interpellation,De Lima,In Favor,Hontiveros,In Favor,In Favor,the CHR could develop a database on breaches of human rights of LGBT amid reported cases of murder and physical violence of such individuals
426,1.58,2/6/2017,reply to interpellation,Hontiveros,In Favor,De Lima,In Favor,In Favor,willingness to receive suggestions on how to further expand the formulation of paragraph 3 of Section 9 (d) (Role of the Commission on Human Rights) w'hich mandates the CHR to “document cases of discrimination on the basis of SOGIE and shall include these documented cases in its annual human rights report” so that this information would be part of the continuing database of the commission
435,1.58,2/6/2017,interpellation,De Lima,In Favor,Hontiveros,In Favor,In Favor,if the measure would consider tapping the GAD budget for its programs.
437,1.58,2/6/2017,reply to interpellation,Hontiveros,In Favor,De Lima,In Favor,In Favor,". Section 11 contemplates the creation of a congressional oversight committee to be called the Anti- Discrimination Oversight Committee which, within three years after the enactment of this Act, will conduct an audit of national and local policies that discriminate on the basis of SOGIE. part of the audit could be on how well the GAD budget has been spent to promote gender sensitivity, gender equality and eliminate discrimination. this oversight committee would cease to exist six years after its organization since it is expected that during such period, the best practices in terms of spending the GAD budget would have been identified and the spirit and the letter of the law would have been internalized and institutionalized in various public and private institutions in society."
455,1.58,2/6/2017,interpellation,De Lima,In Favor,Hontiveros,In Favor,In Favor,how the committee would address possible objections to the bill on the basis of religion
457,1.58,2/6/2017,reply to interpellation,Hontiveros,In Favor,De Lima,In Favor,In Favor,"human rights protection does not negate the exercise of religion freedom Catholic Bishops of the Philippines (CBCP) President Archbishop Socrates Villegas himself had said that passing an anti-discrimination law would be a gesture of charity or love. statement that the Archbishop issued on March 3, 2015 which urged priests to care for all, including the LGBT community. Archbishop Villegas not only warned parents against imbuing children with hate against LGBT but even instructed Catholic schools to implement a zero tolerance policy against bullying. such statement presages some of the measures contemplated by the bill in terms of programs to promote non-discrimination and diversity. statements from the CBCP which demonstrate that the bill did not contradict but is consistent with what is being preached by the Roman Catholic Church such as its belief that discrimination “does not conform to Pope Francis’ vision of the Church as the sacrament of Divine mercy and compassion.” the CBCP also underscored the pontiffs belief that discrimination is contrary to the gospel spirit because verbal and physical violence against LGBT is an offense against God."
485,1.58,2/6/2017,interpellation,De Lima,In Favor,Hontiveros,In Favor,In Favor,"the measure would not* meet many objections from the Catholic Church, particularly as Pope Francis himself has given assurance that transsexuals and homosexuals are being accepted and embraced by the Catholic church the bill should address objections by other sects who might not have the same level of tolerance because of concerns that it would be encroaching on the freedom of religion"
494,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,"he supports the measure to remove discrimination, there remain some issues that he would want clarified. if Senate Bill No. 1271 intends to amend any existing law"
499,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,the bill seeks to provide by force of law the guarantees against discrimination on grounds of sexual orientation and gender identity and expression that are promised to every citizen of the country through the Constitution and in various human rights instruments.
506,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,"Regarding the definition of discrimination as stated in paragraph (a) of Section 3 clarified as regards the following proviso: “For purposes of this provision, the actual sex, sexual orientation or gender identity of the person subjected to discrimination shall not be relevant for the purpose of determining whether an act of discrimination has been committed.”"
514,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,"gender identity would not be relevant in determining whether an act of discrimination has been committed. She said that the provision would be clarified by the proposal raised in the earlier interpellation of Senator De Lima as regards the rewording of the title of the bill to eventually refer not to the act of discrimination but to the rights of every individual, regardless of sexual orientation, gender identity or expression. appreciation to Senator De Lima for understanding the intent of the bill which is not only to protect discrimination of the LGBT but to uphold the rights against discrimination or the freedom from discrimination of every individual, including straights Section 3(a) means that the actual SOGIE of the person discriminated against shall not be relevant for determining whether an act of discrimination has been committed and that the focus would be on the discrimination itself and not in the actual identity or orientation of the victim"
534,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,As regards Section 5 reason for the need of a family court or a court’s approval for minors to undertake medical or psychological examination to determine or alter the person’s SOGIE why the determination could not be asked of the minor’s parents or legal guardian
542,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,"the family court would still request the parents or the legal guardians to weigh in as they are the persons in whose authority the minor is placed. there are some cases where parents force their kids to undergo such an examination, thus the family court would have to request the parents or the legal guardian to weigh in to provide some kind of guidance"
550,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,where the provision could be found in the bill which provides that parents or legal guardians may be consulted
553,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,"at the proper time, she would be open to accept an amendment on Section 5 that would allow and specify the participation of parents or legal guardians of the child or minor."
558,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,a specific example of a medical or psychological examination which determine or alters a person’s SOGIE
561,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,"one of the most traumatic examples would be related to what is called the use of “electric conversion therapy,” or applying electric shock in the belief that electricity can biologically change gender identity. the psychological and medical premise of this kind of a therapy is that the child’s SOGIE which may not be what was assigned to him/her at birth is different from his/her actual orientation so the child’s identity or expression is diagnosed as a disorder."
571,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,if the reason for putting the family courts first before the parents or guardians was that the latter do not usually accept the child’s preferred gender
575,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,"hoped that with the passing of time, along with the support from gender sensitivity and equality advocates including the LGBTQ community, more families would slowly be more accepting. Section 5(i) requires express approval from parents or legal guardians first and only provided a contrary option in the event that the parents or legal guardians would force the child to undergo traumatic therapies, in which case the family court would provide the child a safe place to be heard, alongside the testimony of the parents. She said that based on the Rules of Court, parents and guardians are called as a matter of course for family court proceedings which, like all existing laws, are not amended nor affected by the bill"
591,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,where family court proceedings would apply
593,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,"prior approval of family courts shall be required for therapies which are listed as discriminatory practices, or if the minor disapproves the procedure. Such option, would provide a space where both the child and his/ her parents or legal guardians would be heard equally and their issue would be resolved by the family court."
600,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,"the concept is “touchy” because if the parent or guardian would like the child to undergo a certain procedure to determine his/her gender, the family court’s permission must be secured first"
605,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,"a person’s sexual orientation or gender identity or expression whether as an LGBTQ or straight, is inherent to a person’s life as a human being. She averred that SOGIE is not only a matter of choice but a matter of realization of who and how a person is, even of a minor. because of human consciousness, even a two-year-old child is capable of naming experiences of who he/she is, how he/she relates with other people, and even remembering his/her experience until he/she reaches adolescence. with every period of human development, the child becomes aware of who he/she is and of his/her relationship with other people. even at two years old, the child starts to become verbal and capable to name and assign meanings as well as to remember experiences."
626,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,"how the concept works when a five-year old boy, for instance, acted like a girl and his parents tried a scientific procedure to alter his thinking"
629,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,she would have to work it out through the IRR inasmuch as the electric conversion therapy she earlier gave as an example must be done by named accountable professionals to ensure that the family will go through the process in the family court first alongside social workers. electric conversion therapy causes damaging and irreversible trauma that impair the child’s vulnerability.
638,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,when the electric conversion therapy reached the Philippines
640,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,that there is no data regarding psychological therapies because of its deep stigma of bringing the child to a psychologist or psychiatrist to cure him/her of a SOGIE which is different from what was assigned to him/her at birth there were repeated reports especially from the LGBTQ communities that the impact is very deep and that there is no mechanism to protect them from the acts of their own parents.
650,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,the number of people who have undergone electric conversion therapy in the country
652,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,there was no data on who underwent such therapy although there were anecdotal reports from communities who recounted and documented their experiences.
656,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,what hospitals or clinics in the Philippines have electric conversion therapy procedure
658,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,that there is no data on such therapies administered by hospitals and religion groups because of its deep stigma
661,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,"requested the Committee on Women, Children, Family Relations and Gender Equality to submit an empirical data as soon as possible so that he would have enough information to formulate his amendments initially thought of proposing that the parents should come first to be seconded by family courts but that because of Senator Hontiveros’ explanation, he was having second thoughts"
670,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,the reason family courts were contemplated was that there have been cases where the parents came first but themselves requested therapists to apply electrical conversion therapy for their children documentation thereof is hard to present because the people involved do not want to reveal themselves
677,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,"thanked Senator Hontiveros for availing of the intervention of family courts, adding that he is the principal author of Republic Act No. 8369 which created the Family Courts. Adverting to Section 5(h) which consider as unlawful the denial of access to or use of establishments, facilities, utilities or services including housing, open to the general public on the basis of SOGIE, if comfort rooms in any establishments, schools, office and the like are included"
690,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,", in the earlier interpellations, she enumerated several cases of discrimination, including the denial of entry to establishments as in the case of TV personality Inday Garutay who was allegedly barred from entering a fine dining restaurant, and BB Gandanghari for cross dress."
697,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,"his concern is on the issue of comfort rooms, believing it could be prone to abuse by scoundrels who might use cross dress as a means to perpetrate crimes against chastity, such as abduction, seduction or acts of lasciviousness what could prevent the commission of crimes by reason of cross dress"
704,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,"fears against transgender people using comfort rooms consistent with their gender identity must be put into context because it makes sense that trans-inclusive bathrooms vary for people with different biological makeup the idea that transgender people would sexually assault people in the bathrooms create an assumption that they are sexual predators. As regards the concern that Section 5(h) is open to abuse particularly by straight persons who cross- dress to be able to gain entry to a gender-specific restroom, for instance current laws are not contradicted by the contemplation of a SOGIE-based anti-discrimination measure"
719,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,the provision be revised to prevent the possibility of such an incident
721,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,"it would be possible to work it out through the IRR For instance since students are aware of who among their schoolmates are straight, LGBT or transgender, the student’s handbook could indicate that only those who are known as one or the other SOGIE would actually have access to the trans-inclusive restrooms. she would be open to exploring a more specific formulation to one of the provisions of the bill that would address this concern."
732,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,disagreed that the matter could be addressed through the IRR considering that he had so many sad experiences with irr of other laws. concrete examples of discriminatory practices covered by Section 5(k) which appears to be a catch-all provision and whether it also suggests that same sex marriage would be allowed in the country
740,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,"the bill clearly states that what should constitute as discriminatory is to deny or revoke only the professional license of someone on the basis of SOGIE the bill does not amend Article 1 of the Family Code which define marriage as a special contract between a man and a woman while the anti-discrimination bill only aims to prohibit discriminatory practices in schools, workplace, health case, public service and other violates of fundamental rights, a separate bill on marriage equality would be needed to address the concern of Senator Sotto."
753,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,Reacting to an earlier statement by Senator Hontiveros espousing the position that people should not be discriminated against because of who they love the penalties under Section 5 {Discriminatory Practices) should nonetheless be made clear and specific
760,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,"while her statement was a general expression of the spirit of the bill, the very particular prohibited acts and penalties are those explicitly articulated in the body of the bill itself"
764,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,the statement that “cross dress would fall under the prohibited acts of this bill” meant that any individual or entity that disallow cross dress would be penalized
768,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,they would be penalized for doing discriminatory acts against a person because of his/ her cross dress which is one example of his or her gender expression.
772,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,"how the provision would be reconciled with the academic freedom of educate institutions as enshrined in Section 5(2), Article XIV of the 1987 Constitution as well as the right of the Court to supervise and regulate the practice of law which includes the conduct of lawyers through the implementation of a dress code. Specifically on the issue of academic freedom the case of Ateneo de Manila University vs. Capulong wherein the Court held that “private schools have the right to establish reasonable rules and regulations for the admission, discipline and promotion of children”; while on the right of the Court to supervise and regulate the practice of law, he cited Rule 11.01 of the Lawyer’s Code of Professional Responsibilities which directs a lawyer to appear in court in proper attire."
789,1.6,2/8/2017,reply to interpellation,Hontiveros,In Favor,Sotto,Against,Against,"such an interesting scenario would be a very positive challenge to the judiciary as it could be an opportunity to examine the gender sensitivity and gender fairness of the highest court of the land. As regards the issue on school uniforms. while educate institutions and offices are allowed to maintain uniforms and dress codes to serve as an identifier for their members to highlight their different roles as well as serve as a safety requirement, the requirements of uniforms and dress codes should be consistent with the gender identity or gender expression of the student or employee. For instance, the Far Eastern University (FEU) has recently allowed its enrollees to wear the uniforms that they are most comfortable with, and she believed that this is expected to create a more inclusive environment where students can be more comfortable with themselves and which, in turn, would allow them to excel in their studies. the school should be able to accommodate the gender that their transgender students identify with in the interest of their welfare and happiness."
815,1.6,2/8/2017,interpellation,Sotto,Against,Hontiveros,In Favor,Against,"such a provision violates the academic freedom of the institution if Letran College, for instance, would be violating the law supposing it disallow a cross dress in skimpy clothing from entering the school premises"
